"","num","A_Year_Built","A_Construction_Quality","A_Building_Condition","A_HVAC","A_Building_Type","A_Gross_Building_Area","A_Net_Leaseable_Area"
"9833",50676560,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9834",50676580,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9835",50676570,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9836",50676600,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9837",50676590,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9838",50676620,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9839",50676610,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9840",50672500,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9841",50672510,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9842",50672520,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9843",50672530,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9844",50672550,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9845",50672540,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9846",50672570,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9847",50672560,"1999","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9848",60019660,"2009","GOOD","EXCELLENT","HEAT PUMP INDIVIDUAL UNIT","APARTMENTS (HI-RISE)","142,834","0"
"9849",14635500,"","UNKNOWN","UNKNOWN","","","1","0"
"9850",14636500,"1963","GOOD","AVERAGE","HEAT PUMP INDIVIDUAL UNIT","MULTIPLE - RESIDENTIAL","17,292","0"
"9851",14637000,"","UNKNOWN","UNKNOWN","","","1","0"
"9852",14628000,"1947","GOOD","AVERAGE","HOT WATER","MULTIPLE - RESIDENTIAL","18,900","0"
"9853",14631500,"1947","GOOD","AVERAGE","HOT WATER","MULTIPLE - RESIDENTIAL","22,680","0"
"9854",14630800,"1965","GOOD","GOOD","PACKAGE UNIT","MULTIPLE - RESIDENTIAL","18,981","0"
"9855",14623500,"1950","GOOD","AVERAGE","HOT WATER","MULTIPLE - RESIDENTIAL","31,384","0"
"9856",50667970,"2000","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO <= 3 STORIES",NA,NA
"9857",50667980,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9858",50667950,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9859",50667960,"2000","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO <= 3 STORIES",NA,NA
"9860",50667930,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9861",50667940,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9862",50667910,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9863",50667920,"2000","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO <= 3 STORIES",NA,NA
"9864",50667890,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9865",50667900,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9866",50667870,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9867",50667880,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9868",50667850,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9869",50667860,"2000","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO <= 3 STORIES",NA,NA
"9870",50667600,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9871",50667610,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9872",50667580,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9873",50667590,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9874",50667560,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9875",50667570,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9876",50667540,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9877",50667550,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9878",50667520,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9879",50667530,"2000","VERY GOOD","VERY GOOD","CENTRAL AIR TO AIR","CONDO <= 3 STORIES",NA,NA
"9880",50676500,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9881",50676510,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9882",50676480,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
"9883",50676490,"2000","VERY GOOD","VERY GOOD","ELECTRIC BASEBOARD","CONDO <= 3 STORIES",NA,NA
